timestamp_ns,rtt_ms
1774661739178377246,30.4638
1774661739253611108,5.6826
1774661739351139480,3.2305
1774661739451378025,3.4646
1774661739550806315,2.8915
1774661739651239315,3.3309
1774661739752476160,3.4411
1774661739870772720,22.8548
1774661739950931403,3.0117
1774661740051103701,3.1908
1774661740160751485,12.8434
1774661740260672927,12.7547
1774661740372631606,24.7120
1774661740461451592,13.5282
1774661740550866572,2.9486
1774661740660853214,12.9283
1774661740751030996,3.1046
1774661740861168772,13.2628
1774661740951162580,3.2480
1774661741061973628,14.0677
1774661741170576470,22.6591
1774661741271350556,23.4400
1774661741351316235,3.3319
1774661741451122333,3.2029
1774661741551061937,3.1517
1774661741683181875,35.2632
1774661741770639464,22.7227
1774661741851285167,3.3730
1774661741962171065,14.2483
1774661742051269377,3.1905
1774661742151406203,3.4829
1774661742250908382,3.0186
1774661742351478913,3.5593
1774661742460998757,13.0827
1774661742560588215,12.6819
1774661742660313359,12.3960
1774661742750995749,3.0841
1774661742851236387,3.3278
1774661742951527087,3.2076
1774661743061287038,13.3647
1774661743160605675,12.6923
1774661743261400033,13.4850
1774661743360871350,12.9586
1774661743460757535,12.8784
1774661743561107025,13.2163
1774661743650711218,2.7416
1774661743751074559,3.1613
1774661743850831375,2.9130
1774661743950576413,2.6917
1774661744060608472,12.6815
1774661744150916581,3.0067
1774661744251080166,3.1577
1774661744360298673,12.3875
1774661744450954995,2.9910
1774661744562050859,14.1021
1774661744660810911,12.9029
1774661744772039934,24.1231
1774661744851233860,3.2343
1774661744951028006,3.1001
1774661745060492540,12.5762
1774661745151009768,3.0912
1774661745260536720,12.6227
1774661745351580737,3.6606
1774661745471120060,23.1750
1774661745552294870,4.3857
1774661745650982536,3.0712
1774661745751087864,3.1683
1774661745861123629,13.2041
1774661745962445510,14.5354
1774661746062293295,14.3740
1774661746160816951,12.9000
1774661746250858526,2.9495
1774661746371073296,23.1914
1774661746460835596,12.9121
1774661746551095564,3.1515
1774661746650898283,2.9853
1774661746751215223,3.2910
1774661746870687717,22.7753
1774661746972464846,24.5387
1774661747051167171,3.2560
1774661747171072970,23.1578
1774661747261032086,13.1220
1774661747360883448,12.9584
1774661747451310914,3.3897
1774661747560477192,12.5702
1774661747651034306,3.1168
1774661747761349242,13.4404
1774661747851246407,3.3345
1774661747951532235,3.6120
1774661748060892063,12.9855
1774661748160851661,12.9028
1774661748261117720,13.1843
1774661748370274240,22.2882
1774661748461021322,13.1068
1774661748551213403,3.3046
1774661748662007346,14.0940
