timestamp_ns,rtt_ms
1776041633054310827,22.1824
1776041633060367845,28.2395
1776041633269156876,37.0094
1776041633270334373,38.1869
1776041633272163280,40.0158
1776041633272618679,40.4712
1776041633337702505,5.5682
1776041633439285838,7.1814
1776041634551901246,19.7736
1776041635053243511,21.1102
1776041635054940587,22.8072
1776041635055470727,23.3374
1776041635058211887,26.0785
1776041635061045397,28.9121
1776041635061528754,29.3954
1776041635063937873,31.8045
1776041635064394288,32.2609
1776041635078373680,46.2403
1776041635580198253,48.0657
1776041635584374745,52.2422
1776041635586290095,54.1575
1776041635590193931,58.0614
1776041635910640733,78.5097
1776041635911080134,78.9491
1776041636109831403,77.7110
1776041636513342728,81.2177
1776041636517743394,85.6184
1776041636519155470,87.0304
1776041636838021847,5.8876
1776041637242605283,10.4734
1776041637337100366,4.9668
1776041637344651594,12.5180
1776041637942582363,10.4470
1776041637943734963,11.5996
1776041638044888902,12.7487
1776041638451604397,19.4697
1776041638452469621,20.3349
1776041638546707001,14.5758
1776041639247208401,15.0754
1776041639584127255,51.9993
1776041639597385486,65.2575
1776041639698909457,66.7808
1776041639702446652,70.3180
1776041639708330199,76.2016
1776041639710475330,78.3467
1776041639718730247,86.6016
1776041639720498644,88.3700
1776041639942865205,10.7358
1776041639953598338,21.4689
1776041640249930082,17.8108
1776041640366262527,34.1313
1776041640571467225,39.3341
1776041641059419748,27.2821
1776041641061420234,29.2826
1776041641063756245,31.6186
1776041641069417061,37.2794
1776041641074666197,42.5286
1776041641077008286,44.8706
1776041641523162629,91.0334
1776041641524829018,92.6997
1776041642049869750,17.7615
1776041642056961747,24.8535
1776041642059379640,27.2714
1776041642067392581,35.2844
1776041642274491558,42.3354
1776041642278918198,46.7621
1776041642285523974,53.3678
1776041642557613526,25.5021
1776041642768634825,36.5049
1776041642770827956,38.6981
1776041642772577929,40.4480
1776041642774310897,42.1810
1776041642778131241,46.0014
1776041642778508077,46.3782
1776041642779238490,47.1086
1776041642783519585,51.3897
1776041642784082222,51.9523
1776041643201487417,69.3547
1776041643597158239,64.9927
1776041643598654648,66.4891
1776041643602661399,70.4958
1776041644013804923,81.6779
1776041644014981561,82.8545
1776041644016916169,84.7891
1776041644142857095,10.7230
1776041644146916160,14.7820
1776041644148530451,16.3963
1776041644152074044,19.9399
1776041644442889300,10.7383
1776041644641947502,9.7921
1776041644643466180,11.3108
1776041644944931647,12.8001
1776041644946641554,14.5100
1776041644954788684,22.6572
1776041644955606893,23.4754
1776041644958398531,26.2670
1776041644961631546,29.5000
1776041645146378279,14.2510
1776041645149412112,17.2849
1776041645338987712,6.8527
1776041645862219843,30.0855
1776041645863972869,31.8386
1776041646348393513,16.2674
1776041646351137380,19.0113
1776041646470591663,38.4591
1776041646478935412,46.8029
1776041646486945950,54.8134
1776041646694467894,62.3358
1776041646695275496,63.1434
1776041646700984499,68.8524
1776041646704084094,71.9520
1776041646709315740,77.1837
1776041647216250786,84.1359
1776041647225408900,93.2940
1776041647431252929,99.1232
1776041647431805627,99.6759
1776041647435766076,3.6514
1776041647439874367,7.7597
1776041647542991262,10.7888
1776041647646257209,14.1185
1776041648055370883,23.2316
1776041648460448476,28.3183
1776041648465623122,33.4930
1776041648466707658,34.5775
1776041648468800366,36.6702
1776041649239378972,7.2489
